The data,Region,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
2022,Rīga,6.12,15.3,0.0,5.0,4.89,7.97,7.34,0.53
2022,Rīga,3.77,9.43,0.0,10.0,10.5,-6.33,15.75,1.14
2022,Rīga,6.12,15.3,0.0,11.0,11.0,-1.2,16.5,1.2
2022,Latgale,3.65,9.13,0.0,3.6,3.6,3.73,5.4,0.39
2022,Zemgale,9.01,22.53,0.0,6.0,6.75,12.4,10.13,0.74
2022,Latgale,7.74,19.35,0.0,8.0,8.25,6.98,12.38,0.9
2022,Latgale,5.17,12.93,0.0,8.5,8.0,0.93,12.0,0.87
2022,Rīga,3.59,8.98,0.0,5.0,4.0,2.98,6.0,0.44
2022,Rīga,2.69,6.73,0.0,5.0,3.34,1.72,5.01,0.36
2022,Latgale,2.87,7.18,0.0,2.0,1.5,4.93,2.25,0.16
2022,Rīga,7.72,19.3,0.0,11.1,9.97,4.35,14.96,1.09
2022,Rīga,5.19,12.98,0.0,5.6,5.26,5.09,7.89,0.57
2022,Vidzeme,1.99,4.98,0.0,3.0,2.7,0.93,4.05,0.29
2022,Zemgale,7.27,18.18,0.0,8.0,7.43,7.03,11.15,0.81
2022,Rīga,11.74,29.35,0.0,10.0,8.36,16.81,12.54,0.91
2022,Rīga,4.79,11.98,0.0,6.0,5.03,4.43,7.55,0.55
2022,Rīga,4.33,10.83,0.0,7.2,5.88,2.01,8.82,0.64
2022,Rīga,10.22,25.55,0.0,11.0,12.68,6.53,19.02,1.38
2022,Rīga,5.6,14.0,0.0,8.0,0.0,14.0,0.0,0.0
2022,Rīga,23.63,59.08,0.0,10.5,10.5,43.33,15.75,1.14
2022,Zemgale,4.01,10.03,0.0,7.38,6.5,0.27,9.75,0.71
2022,Rīga,4.55,11.38,0.0,8.65,7.33,0.38,11.0,0.8
2022,Rīga,3.53,8.83,0.0,3.75,3.75,3.2,5.63,0.41
2022,Rīga,7.73,19.33,0.0,11.02,10.6,3.43,15.9,1.16
2022,Rīga,6.51,16.28,0.0,10.0,6.81,6.06,10.22,0.74
2022,Zemgale,2.7,6.75,0.0,8.6,8.18,-5.52,12.27,0.89
2022,Rīga,5.03,12.58,0.0,6.9,6.46,2.89,9.69,0.7
2022,Rīga,14.83,37.08,0.0,10.0,8.86,23.79,13.29,0.97
2022,Rīga,15.02,37.55,0.0,10.0,9.31,23.59,13.97,1.01
2022,Rīga,10.54,26.35,0.0,8.2,8.1,14.2,12.15,0.88
2022,Rīga,4.32,10.8,0.0,5.6,4.73,3.71,7.1,0.52
2022,Rīga,10.07,25.18,0.0,10.0,10.53,9.38,15.8,1.15
2022,Rīga,16.6,41.5,0.0,10.0,0.0,41.5,0.0,0.0
2022,Rīga,8.24,20.6,0.0,8.6,8.04,8.54,12.06,0.88
2022,Vidzeme,4.94,12.35,0.0,5.6,4.59,5.47,6.89,0.5
2022,Rīga,7.57,18.93,0.0,7.2,6.0,9.93,9.0,0.65
2022,Vidzeme,10.89,27.23,0.0,11.0,9.9,12.38,14.85,1.08
2022,Rīga,6.77,16.93,0.0,11.1,10.8,0.72,16.2,1.18
2022,Rīga,4.76,11.9,0.0,5.2,5.2,4.1,7.8,0.57
2022,Rīga,10.65,26.63,0.0,10.0,10.0,11.63,15.0,1.09
2022,Rīga,5.31,13.28,0.0,10.0,10.45,-2.4,15.68,1.14
2022,Rīga,5.22,13.05,0.0,6.0,5.45,4.88,8.18,0.59
2022,Rīga,12.09,30.23,0.0,10.8,9.0,16.73,13.5,0.98
2022,Rīga,4.0,10.0,0.0,8.5,7.5,-1.25,11.25,0.82
2022,Rīga,3.4,8.5,0.0,4.5,4.5,1.75,6.75,0.49
2022,Rīga,3.56,8.9,0.0,4.0,4.09,2.77,6.14,0.45
2022,Vidzeme,2.85,7.13,0.0,4.0,3.33,2.13,5.0,0.36
2022,Rīga,4.34,10.85,0.0,6.0,4.7,3.8,7.05,0.51
2022,Kurzeme,5.5,13.75,0.0,11.1,10.5,-2.0,15.75,1.14
2022,Rīga,8.43,21.08,0.0,8.0,10.53,5.28,15.8,1.15
2022,Kurzeme,3.93,9.83,0.0,8.0,5.25,1.95,7.88,0.57
2022,Rīga,5.22,13.05,0.0,5.0,5.0,5.55,7.5,0.55
2022,Latgale,2.55,6.38,0.0,4.74,3.38,1.31,5.07,0.37
2022,Rīga,10.6,26.5,0.0,11.1,10.54,10.69,15.81,1.15
2022,Zemgale,8.79,21.98,0.0,11.0,10.0,6.98,15.0,1.09
2022,Rīga,7.35,18.38,0.0,8.0,7.84,6.62,11.76,0.85
2022,Rīga,3.12,7.8,0.0,5.0,5.6,-0.6,8.4,0.61
2022,Rīga,5.35,13.38,0.0,8.0,7.41,2.26,11.12,0.81
2022,Rīga,6.58,16.45,0.0,10.0,12.23,-1.9,18.35,1.33
2022,Zemgale,7.59,18.98,0.0,10.4,7.79,7.29,11.69,0.85
2022,Rīga,6.96,17.4,0.0,6.0,6.4,7.8,9.6,0.7
2022,Rīga,4.2,10.5,0.0,6.4,5.3,2.55,7.95,0.58
2022,Rīga,7.89,19.73,0.0,10.0,12.0,1.73,18.0,1.31
2022,Rīga,3.76,9.4,0.0,10.0,10.0,-5.6,15.0,1.09
2022,Rīga,11.23,28.08,0.0,7.4,6.9,17.73,10.35,0.75
